uniqueID,sentenceType,isOrig,KL
1,pun,0,2.6640367678
2,pun,0,1.90107000946
3,pun,0,4.35965442097
4,pun,0,6.02762628715
5,pun,0,3.22226824696
6,pun,0,2.74303884452
7,pun,0,3.5370958083
8,pun,0,2.1639910061
9,pun,0,2.38592021113
10,pun,0,2.11540925611
11,pun,0,3.18649944538
12,pun,0,3.20241319419
13,pun,0,2.47581005075
14,pun,0,3.36495402426
15,pun,0,2.88413173983
16,pun,0,2.15137357796
17,pun,0,3.31380336538
18,pun,0,3.02362630451
19,pun,0,3.10720949493
20,pun,0,2.44493258119
21,pun,0,2.45200590227
22,pun,0,2.79398094776
23,pun,0,4.22110485673
24,pun,0,2.96581623944
25,pun,0,3.36974686137
26,pun,0,3.58714356598
27,pun,0,3.71848510962
28,pun,0,2.5158346562
29,pun,0,2.59626533931
30,pun,0,3.26717808105
31,pun,0,4.42264212643
32,pun,0,5.20877175151
33,pun,0,4.68080854988
34,pun,0,3.34147338729
35,pun,0,2.4342649187
36,pun,0,1.83798235202
37,pun,0,3.08673990045
38,pun,0,3.93299916516
39,pun,0,5.82245094055
40,pun,0,3.53471506426
41,pun,0,5.4822108471
42,pun,0,3.8305530123
43,pun,0,4.6072603225
44,pun,0,3.94716811857
45,pun,0,3.2956002698
46,pun,0,4.82499695424
47,pun,0,3.21124276099
48,pun,0,1.92474118341
49,pun,0,3.32903625816
50,pun,0,1.98610980482
51,pun,0,5.28500829619
52,pun,0,2.65699279155
53,pun,0,3.06674264049
54,pun,0,3.2414653265
55,pun,0,1.98587563171
56,pun,0,3.33341982989
57,pun,0,3.40049100349
58,pun,0,2.54009763181
59,pun,0,3.11082630662
60,pun,0,3.90479912266
61,pun,0,3.14211255649
62,pun,0,3.12439956669
63,pun,0,3.21734715044
64,pun,0,3.39690012235
65,pun,0,4.3444364199
66,depunned,0,2.63616590608
67,depunned,0,2.26645462891
68,depunned,0,3.16158898577
69,depunned,0,4.66157302673
70,depunned,0,2.71312511563
71,depunned,0,2.59425669519
72,depunned,0,3.43067470521
73,depunned,0,2.00719203617
74,depunned,0,2.30517295156
75,depunned,0,2.07149104336
76,depunned,0,2.32429007746
77,depunned,0,2.49544170386
78,depunned,0,2.44111787095
79,depunned,0,3.28636235556
80,depunned,0,2.36897163141
81,depunned,0,2.04734532826
82,depunned,0,3.31380336538
83,depunned,0,2.96760961775
84,depunned,0,2.04425092799
85,depunned,0,2.14361292539
86,depunned,0,1.86264932077
87,depunned,0,2.30069735367
88,depunned,0,3.39289259935
89,depunned,0,2.05641357802
90,depunned,0,1.90328563763
91,depunned,0,2.77463711287
92,depunned,0,2.76132342526
93,depunned,0,2.53555151194
94,depunned,0,2.1541741369
95,depunned,0,3.99442069354
96,depunned,0,3.89783922115
97,depunned,0,4.50775978116
98,depunned,0,3.69894597447
99,depunned,0,2.58664966068
100,depunned,0,2.32078664441
101,depunned,0,2.54873555139
102,depunned,0,1.97657067367
103,depunned,0,2.74314666254
104,depunned,0,4.81788829959
105,depunned,0,2.48439043335
106,nonpun,0,3.5336202229
107,nonpun,0,3.95065471953
108,nonpun,0,4.96509818086
109,nonpun,0,4.24276745008
110,nonpun,0,3.00048447087
111,nonpun,0,3.90599518003
112,nonpun,0,2.48316654132
113,nonpun,0,3.8549112293
