uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w
1,pun,0,0.04016754781,0.95983245219
2,pun,0,0.607505241903,0.392494758097
3,pun,0,0.0187855023655,0.981214497634
4,pun,0,1.53196587463e-05,0.999984680341
5,pun,0,0.136926064317,0.863073935683
6,pun,0,0.977629486691,0.0223705133091
7,pun,0,0.000660339493468,0.999339660507
8,pun,0,0.866480800034,0.133519199966
9,pun,0,0.00341535264293,0.996584647357
10,pun,0,0.852492500673,0.147507499327
11,pun,0,0.999952799511,4.72004893283e-05
12,pun,0,0.0502315075475,0.949768492453
13,pun,0,0.0276235145957,0.972376485404
14,pun,0,0.00712454563332,0.992875454367
15,pun,0,0.395881296832,0.604118703168
16,pun,0,0.120840772555,0.879159227445
17,pun,0,2.4882229045e-05,0.999975117771
18,pun,0,0.215582516157,0.784417483843
19,pun,0,0.912222760505,0.0877772394946
20,pun,0,0.879756005707,0.120243994293
21,pun,0,0.905845175619,0.0941548243811
22,pun,0,0.993017311847,0.00698268815284
23,pun,0,0.985558269607,0.0144417303926
24,pun,0,0.732389272639,0.267610727361
25,pun,0,0.90129704627,0.09870295373
26,pun,0,0.124581365977,0.875418634023
27,pun,0,0.999235553306,0.000764446693697
28,pun,0,0.286587810035,0.713412189965
29,pun,0,0.706426759216,0.293573240784
30,pun,0,0.857785272704,0.142214727296
31,pun,0,0.93009542815,0.06990457185
32,pun,0,0.661286901486,0.338713098514
33,pun,0,0.0135274593833,0.986472540617
34,pun,0,0.0361408513134,0.963859148687
35,pun,0,0.485269886347,0.514730113653
36,pun,0,0.494327577337,0.505672422663
37,pun,0,0.959142168028,0.0408578319717
38,pun,0,0.123740480014,0.876259519986
39,pun,0,0.182115628798,0.817884371202
40,pun,0,0.919257947341,0.0807420526586
41,pun,0,0.743377393577,0.256622606423
42,pun,0,0.331072401552,0.668927598448
43,pun,0,0.923048205306,0.0769517946943
44,pun,0,0.797314653884,0.202685346116
45,pun,0,0.902200101433,0.0977998985673
46,pun,0,0.385823834296,0.614176165704
47,pun,0,0.997126299445,0.00287370055492
48,pun,0,0.424369884495,0.575630115505
49,pun,0,0.0696052890441,0.930394710956
50,pun,0,0.343869320459,0.656130679541
51,pun,0,0.00515266670602,0.994847333294
52,pun,0,0.523020065109,0.476979934891
53,pun,0,0.863899331791,0.136100668209
54,pun,0,0.52452350856,0.47547649144
55,pun,0,0.168369689313,0.831630310687
56,pun,0,0.305685451831,0.694314548169
57,pun,0,0.920848364165,0.0791516358347
58,pun,0,0.101172369277,0.898827630723
59,pun,0,0.558246181793,0.441753818207
60,pun,0,0.0349415720804,0.96505842792
61,pun,0,0.672814444122,0.327185555878
62,pun,0,0.133096814324,0.866903185676
63,pun,0,0.949388615838,0.0506113841616
64,pun,0,0.7688761512,0.2311238488
65,pun,0,0.257134101855,0.742865898145
66,depunned,0,0.0279845552271,0.972015444773
67,depunned,0,0.329019278524,0.670980721476
68,depunned,0,0.000320680553076,0.999679319447
69,depunned,0,1.06017811244e-06,0.999998939822
70,depunned,0,0.0177714026063,0.982228597394
71,depunned,0,0.995548713253,0.00445128674707
72,depunned,0,0.00114915358814,0.998850846412
