uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w
1,pun,0,0.236186962404,0.763813037596
2,pun,0,0.919593567728,0.0804064322717
3,pun,0,0.12393254496,0.87606745504
4,pun,0,0.000113186739383,0.999886813261
5,pun,0,0.539651746899,0.460348253101
6,pun,0,0.996912763856,0.00308723614366
7,pun,0,0.00485878660294,0.995141213397
8,pun,0,0.979571708454,0.0204282915462
9,pun,0,0.0246973151354,0.975302684865
10,pun,0,0.977118638268,0.0228813617317
11,pun,0,0.999993611848,6.38815230925e-06
12,pun,0,0.280986038477,0.719013961523
13,pun,0,0.173492349267,0.826507650733
14,pun,0,0.0503517021065,0.949648297894
15,pun,0,0.828827992623,0.171172007377
16,pun,0,0.503876852879,0.496123147121
17,pun,0,0.00018382696258,0.999816173037
18,pun,0,0.670048043345,0.329951956655
19,pun,0,0.987144973119,0.0128550268811
20,pun,0,0.981838478119,0.0181615218815
21,pun,0,0.986128193767,0.0138718062331
22,pun,0,0.999049255627,0.000950744373077
23,pun,0,0.998020809673,0.00197919032685
24,pun,0,0.952879430348,0.0471205696523
25,pun,0,0.985395595457,0.0146044045433
26,pun,0,0.512561564565,0.487438435435
27,pun,0,0.999896474961,0.000103525038835
28,pun,0,0.748002211256,0.251997788744
29,pun,0,0.946752778606,0.0532472213936
30,pun,0,0.978054766932,0.0219452330675
31,pun,0,0.989930823495,0.0100691765049
32,pun,0,0.935174515572,0.0648254844284
33,pun,0,0.0920035052001,0.9079964948
34,pun,0,0.216951411207,0.783048588793
35,pun,0,0.874468822798,0.125531177202
36,pun,0,0.878394043382,0.121605956618
37,pun,0,0.994267991473,0.00573200852652
38,pun,0,0.510629439916,0.489370560084
39,pun,0,0.621970595987,0.378029404013
40,pun,0,0.988252609681,0.0117473903194
41,pun,0,0.955365944013,0.0446340559867
42,pun,0,0.785272541753,0.214727458247
43,pun,0,0.988843372979,0.0111566270206
44,pun,0,0.966740660066,0.0332593399342
45,pun,0,0.985541557541,0.0144584424593
46,pun,0,0.822751145251,0.177248854749
47,pun,0,0.999610118148,0.000389881852081
48,pun,0,0.844898944204,0.155101055796
49,pun,0,0.355999916371,0.644000083629
50,pun,0,0.794766780815,0.205233219185
51,pun,0,0.0368598908036,0.963140109196
52,pun,0,0.89013740638,0.10986259362
53,pun,0,0.979124067615,0.0208759323848
54,pun,0,0.890725458396,0.109274541604
55,pun,0,0.599353982067,0.400646017933
56,pun,0,0.764881547354,0.235118452646
57,pun,0,0.988501003947,0.0114989960525
58,pun,0,0.454063504857,0.545936495143
59,pun,0,0.903265576786,0.0967344232141
60,pun,0,0.211066072804,0.788933927196
61,pun,0,0.938251138768,0.0617488612324
62,pun,0,0.531495614946,0.468504385054
63,pun,0,0.992837028922,0.00716297107803
64,pun,0,0.960908577263,0.0390914227369
65,pun,0,0.718914229728,0.281085770272
66,depunned,0,0.175415969021,0.824584030979
67,depunned,0,0.783702708786,0.216297291214
68,depunned,0,0.00236468172771,0.997635318272
69,depunned,0,7.83366248608e-06,0.999992166338
70,depunned,0,0.117924454797,0.882075545203
71,depunned,0,0.999395256267,0.000604743733053
72,depunned,0,0.00842927255314,0.991570727447
73,depunned,0,0.997159966543,0.00284003345662
74,depunned,0,0.0117894734349,0.988210526565
75,depunned,0,0.904532805575,0.0954671944252
76,depunned,0,0.999914529335,8.5470665196e-05
77,depunned,0,0.0458622339811,0.954137766019
78,depunned,0,0.0224308635848,0.977569136415
79,depunned,0,0.00877154307574,0.991228456924
80,depunned,0,0.181826838575,0.818173161425
81,depunned,0,0.526163373806,0.473836626194
82,depunned,0,0.00018382696258,0.999816173037
83,depunned,0,0.292946674968,0.707053325032
84,depunned,0,0.926921817288,0.0730781827117
85,depunned,0,0.814396466797,0.185603533203
86,depunned,0,0.912536772818,0.0874632271815
87,depunned,0,0.997977516908,0.00202248309197
88,depunned,0,0.99235831494,0.00764168505973
89,depunned,0,0.43093537484,0.56906462516
90,depunned,0,0.50434329226,0.49565670774
91,depunned,0,0.128871607692,0.871128392308
92,depunned,0,0.99952293531,0.000477064689663
93,depunned,0,0.561314533851,0.438685466149
94,depunned,0,0.836782568961,0.163217431039
95,depunned,0,0.986787045863,0.0132129541372
96,depunned,0,0.92639530553,0.0736046944697
97,depunned,0,0.204075106268,0.795924893732
98,depunned,0,0.0239841941401,0.97601580586
99,depunned,0,0.0244664364198,0.97553356358
100,depunned,0,0.797575801944,0.202424198056
101,depunned,0,0.522536386279,0.477463613721
102,depunned,0,0.934830037877,0.065169962123
103,depunned,0,0.944274456728,0.0557255432721
104,depunned,0,0.193393427131,0.806606572869
105,depunned,0,0.859743337769,0.140256662231
106,nonpun,0,0.998984570419,0.0010154295811
107,nonpun,0,0.999908249879,9.17501210036e-05
108,nonpun,0,0.982187301007,0.017812698993
109,nonpun,0,0.625788354772,0.374211645228
110,nonpun,0,0.981573396143,0.0184266038565
111,nonpun,0,0.999978250794,2.17492058622e-05
112,nonpun,0,0.934010405439,0.0659895945611
113,nonpun,0,0.999903070232,9.69297684945e-05
114,nonpun,0,0.603424278133,0.396575721867
115,nonpun,0,0.990891363428,0.00910863657188
116,nonpun,0,0.99999963778,3.62219522592e-07
117,nonpun,0,0.932557978033,0.0674420219669
118,nonpun,0,0.648744854632,0.351255145368
119,nonpun,0,0.87826247361,0.12173752639
120,nonpun,0,0.996502097421,0.00349790257873
121,nonpun,0,0.988790000044,0.0112099999557
122,nonpun,0,0.00579533438096,0.994204665619
123,nonpun,0,0.999117700205,0.000882299795443
124,nonpun,0,0.998583581875,0.00141641812453
