uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w
1,pun,0,0.845762200868,0.154237799132
2,pun,0,0.960838867758,0.0391611322425
3,pun,0,0.998058742212,0.00194125778837
4,pun,0,0.467341006879,0.532658993121
5,pun,0,0.970723774009,0.0292762259909
6,pun,0,0.997152707765,0.00284729223451
7,pun,0,0.355013450408,0.644986549592
8,pun,0,0.950455152064,0.0495448479359
9,pun,0,0.920007373573,0.0799926264271
10,pun,0,0.985693745089,0.014306254911
11,pun,0,0.998446239778,0.0015537602215
12,pun,0,0.96990108087,0.0300989191301
13,pun,0,0.950743830646,0.0492561693544
14,pun,0,0.863173333959,0.136826666041
15,pun,0,0.98825678058,0.0117432194196
16,pun,0,0.933837510625,0.0661624893754
17,pun,0,0.173191535891,0.826808464109
18,pun,0,0.937217447756,0.0627825522437
19,pun,0,0.99642286058,0.00357713941995
20,pun,0,0.994342895199,0.00565710480141
21,pun,0,0.996942357533,0.00305764246691
22,pun,0,0.99915674837,0.000843251629714
23,pun,0,0.998862800089,0.0011371999115
24,pun,0,0.997703633652,0.00229636634795
25,pun,0,0.999467685532,0.000532314467891
26,pun,0,0.959077943226,0.0409220567736
27,pun,0,0.999594511542,0.000405488457898
28,pun,0,0.989690034113,0.0103099658865
29,pun,0,0.998005846311,0.00199415368905
30,pun,0,0.997931918714,0.00206808128561
31,pun,0,0.875284276755,0.124715723245
32,pun,0,0.996624839984,0.00337516001572
33,pun,0,0.996001238751,0.00399876124861
34,pun,0,0.965658267045,0.0343417329546
35,pun,0,0.983436059745,0.0165639402548
36,pun,0,0.983712000386,0.0162879996141
37,pun,0,0.998984093821,0.00101590617903
38,pun,0,0.434225188119,0.565774811881
39,pun,0,0.997785785309,0.00221421469093
40,pun,0,0.982690592919,0.0173094070811
41,pun,0,0.999980561275,1.94387248365e-05
42,pun,0,0.991095318728,0.00890468127216
43,pun,0,0.982747126465,0.0172528735347
44,pun,0,0.999783880867,0.000216119133036
45,pun,0,0.995587771332,0.00441222866804
46,pun,0,0.991634371524,0.00836562847612
47,pun,0,0.990858227947,0.00914177205254
48,pun,0,0.968350838692,0.0316491613079
49,pun,0,0.9976018168,0.00239818319964
50,pun,0,0.983011148674,0.0169888513259
51,pun,0,0.976107380951,0.0238926190487
52,pun,0,0.994573352782,0.00542664721819
53,pun,0,0.988756555206,0.0112434447941
54,pun,0,0.999653738919,0.000346261081361
55,pun,0,0.958052020405,0.0419479795954
56,pun,0,0.999119320109,0.000880679891413
57,pun,0,0.995993258159,0.00400674184128
58,pun,0,0.993503560254,0.00649643974649
59,pun,0,0.999285423425,0.000714576575344
60,pun,0,0.958585738421,0.0414142615795
61,pun,0,0.995444718638,0.00455528136192
62,pun,0,0.992777080085,0.00722291991485
63,pun,0,0.999559475179,0.000440524821424
64,pun,0,0.964117146829,0.0358828531706
65,pun,0,0.839532239128,0.160467760872
66,depunned,0,0.790463755445,0.209536244555
67,depunned,0,0.886014322572,0.113985677428
68,depunned,0,0.895989546077,0.104010453923
69,depunned,0,0.0572412051083,0.942758794892
70,depunned,0,0.790855839522,0.209144160478
71,depunned,0,0.999442365642,0.000557634358488
72,depunned,0,0.489362186513,0.510637813487
73,depunned,0,0.992931149223,0.00706885077726
74,depunned,0,0.844199414324,0.155800585676
75,depunned,0,0.938601140534,0.0613988594657
76,depunned,0,0.9796021124,0.0203978875999
77,depunned,0,0.798527182583,0.201472817417
78,depunned,0,0.678449302772,0.321550697228
79,depunned,0,0.512879047538,0.487120952462
80,depunned,0,0.794342677461,0.205657322539
81,depunned,0,0.939142389285,0.0608576107152
82,depunned,0,0.173191535891,0.826808464109
83,depunned,0,0.752822033827,0.247177966173
84,depunned,0,0.978728073983,0.0212719260172
85,depunned,0,0.934495176369,0.0655048236314
86,depunned,0,0.979530367629,0.0204696323708
87,depunned,0,0.998205964622,0.0017940353776
88,depunned,0,0.995598629512,0.0044013704879
89,depunned,0,0.942095613483,0.0579043865172
90,depunned,0,0.965887954369,0.0341120456308
91,depunned,0,0.767290316541,0.232709683459
92,depunned,0,0.998133459608,0.00186654039161
93,depunned,0,0.976403877752,0.0235961222476
94,depunned,0,0.993117916942,0.00688208305798
95,depunned,0,0.99876482244,0.00123517755992
96,depunned,0,0.473262500035,0.526737499965
97,depunned,0,0.839953291879,0.160046708121
98,depunned,0,0.983715035096,0.0162849649043
99,depunned,0,0.71794435543,0.28205564457
100,depunned,0,0.971082752353,0.0289172476472
101,depunned,0,0.901482095995,0.0985179040049
102,depunned,0,0.987852177692,0.0121478223082
103,depunned,0,0.925726265145,0.0742737348551
104,depunned,0,0.985000282169,0.0149997178307
105,depunned,0,0.805322241157,0.194677758843
106,nonpun,0,0.99994268378,5.73162197642e-05
107,nonpun,0,0.99995723015,4.27698501325e-05
108,nonpun,0,0.999995009912,4.99008767557e-06
109,nonpun,0,0.99992285347,7.71465302297e-05
110,nonpun,0,0.999336744456,0.000663255544363
111,nonpun,0,0.999979945963,2.00540372528e-05
112,nonpun,0,0.999373673751,0.000626326249384
113,nonpun,0,0.999757749262,0.000242250738405
114,nonpun,0,0.99855507821,0.00144492178964
115,nonpun,0,0.994334876359,0.00566512364102
116,nonpun,0,0.999911770266,8.82297336432e-05
117,nonpun,0,0.999123715998,0.000876284002185
118,nonpun,0,0.994146311051,0.00585368894878
119,nonpun,0,0.998836360161,0.0011636398388
120,nonpun,0,0.999798074658,0.000201925342446
121,nonpun,0,0.99918487758,0.000815122419676
122,nonpun,0,0.869127579956,0.130872420044
123,nonpun,0,0.999879883908,0.000120116091904
124,nonpun,0,0.999609125445,0.00039087455488
125,nonpun,0,0.999884430247,0.000115569752628
126,nonpun,0,0.999896785494,0.000103214505994
127,nonpun,0,0.999567218079,0.000432781920519
128,nonpun,0,0.999485762969,0.000514237030848
129,nonpun,0,0.998721018731,0.00127898126857
130,nonpun,0,0.981904448054,0.0180955519457
131,nonpun,0,0.999809421977,0.000190578022906
132,nonpun,0,0.999284840003,0.000715159996592
133,nonpun,0,0.998061056066,0.00193894393386
134,nonpun,0,0.999646164708,0.000353835292012
135,nonpun,0,0.999132947132,0.000867052867984
136,nonpun,0,0.999693922348,0.000306077651999
137,nonpun,0,0.999890887491,0.000109112508886
138,nonpun,0,0.999750318905,0.000249681094533
139,nonpun,0,0.999836681773,0.000163318226509
140,nonpun,0,0.983109803708,0.0168901962924
141,nonpun,0,0.999979132443,2.08675574368e-05
142,nonpun,0,0.998330952502,0.00166904749773
143,nonpun,0,0.868490196775,0.131509803225
144,nonpun,0,0.999997488724,2.5112759879e-06
145,nonpun,0,0.999930296704,6.9703295736e-05
146,nonpun,0,0.999632440505,0.000367559494705
147,nonpun,0,0.998855645811,0.00114435418867
148,nonpun,0,0.999797171526,0.000202828473537
149,nonpun,0,0.997205963304,0.0027940366962
150,nonpun,0,0.997936024697,0.00206397530259
151,nonpun,0,0.994871744852,0.00512825514786
152,nonpun,0,0.99898520986,0.0010147901401
153,nonpun,0,0.997615535801,0.00238446419859
154,nonpun,0,0.99981376086,0.000186239140306
155,nonpun,0,0.998899481085,0.00110051891453
156,nonpun,0,0.995481920928,0.00451807907246
157,nonpun,0,0.994442163912,0.00555783608775
158,nonpun,0,0.991454137292,0.00854586270778
159,nonpun,0,0.999396688031,0.000603311968676
160,nonpun,0,0.959844697654,0.0401553023465
161,nonpun,0,0.987950487763,0.0120495122374
162,nonpun,0,0.999898740151,0.000101259848763
163,nonpun,0,0.998893027136,0.00110697286361
164,nonpun,0,0.998131225118,0.00186877488183
165,nonpun,0,0.999349035604,0.000650964396085
166,nonpun,0,0.991781453749,0.00821854625079
167,nonpun,0,0.996175659116,0.00382434088433
168,nonpun,0,0.999185143147,0.000814856852684
169,nonpun,0,0.999352009216,0.000647990784074
170,nonpun,0,0.99827701462,0.00172298538042
171,nonpun,0,0.999995068425,4.93157527975e-06
172,nonpun,0,0.999875277146,0.000124722853948
173,nonpun,0,0.99600486757,0.00399513243034
174,nonpun,0,0.979926465761,0.0200735342388
175,nonpun,0,0.999966519617,3.34803831272e-05
176,nonpun,0,0.99741836411,0.00258163589009
177,nonpun,0,0.999707922099,0.000292077900552
178,nonpun,0,0.993671592742,0.0063284072579
179,nonpun,0,0.999813489229,0.000186510770633
180,nonpun,0,0.991554542779,0.00844545722091
181,nonpun,0,0.998741060311,0.00125893968918
182,nonpun,0,0.99983946772,0.000160532280474
183,nonpun,0,0.996969280767,0.00303071923251
184,nonpun,0,0.999909907779,9.00922211982e-05
185,nonpun,0,0.999676573119,0.000323426880711
186,nonpun,0,0.998823970423,0.00117602957661
187,nonpun,0,0.999728369368,0.000271630632436
188,nonpun,0,0.998361964434,0.00163803556618
189,nonpun,0,0.9957565822,0.00424341779956
190,nonpun,0,0.99156598308,0.00843401692002
191,nonpun,0,0.998927638835,0.00107236116486
192,nonpun,0,0.981331822897,0.0186681771028
193,nonpun,0,0.999424659907,0.000575340093151
194,nonpun,0,0.998146098338,0.00185390166195
195,nonpun,0,0.999767342661,0.000232657339122
196,nonpun,0,0.99501779887,0.00498220112974
197,nonpun,0,0.987643235208,0.0123567647923
198,nonpun,0,0.994751021908,0.00524897809249
199,nonpun,0,0.996959725585,0.00304027441533
200,nonpun,0,0.98165066297,0.0183493370303
201,nonpun,0,0.999960580711,3.94192893889e-05
202,nonpun,0,0.993991150348,0.00600884965186
203,nonpun,0,0.99900058038,0.000999419620095
204,nonpun,0,0.999756356823,0.000243643177119
205,nonpun,0,0.999944749862,5.52501381198e-05
206,nonpun,0,0.98400627166,0.0159937283404
207,nonpun,0,0.999990483264,9.51673565085e-06
208,nonpun,0,0.999948107813,5.18921867452e-05
209,nonpun,0,0.992214815104,0.00778518489625
210,nonpun,0,0.997063681947,0.00293631805278
211,nonpun,0,0.986559885974,0.0134401140258
212,nonpun,0,0.998829918193,0.00117008180725
213,nonpun,0,0.999648133032,0.000351866967905
214,nonpun,0,0.993026920752,0.00697307924835
215,nonpun,0,0.999682458786,0.000317541213537
216,nonpun,0,0.999100254319,0.000899745681489
217,nonpun,0,0.995108621749,0.00489137825145
