uniqueID,sentenceType,isOrig,KL
1,pun,0,4.19653750876e-36
2,pun,0,1.83282562122e-36
3,pun,0,9.28847016886e-36
4,pun,0,1.57665050991e-35
5,pun,0,5.81676869914e-36
6,pun,0,4.16808923506e-36
7,pun,0,5.64204000132e-36
8,pun,0,2.74460292828e-36
9,pun,0,4.09086376824e-36
10,pun,0,2.19977657834e-36
11,pun,0,5.43647627076e-36
12,pun,0,6.63192486048e-36
13,pun,0,4.85529256715e-36
14,pun,0,6.19012589393e-36
15,pun,0,5.50171404435e-36
16,pun,0,2.67034397229e-36
17,pun,0,6.73027461897e-36
18,pun,0,5.0655671158e-36
19,pun,0,5.40742345679e-36
